Registro N°,N° L. Venta,Producto,Registrante,P.Activo,Situación,Formulacion,Fabricante,País Origen,Resolución,Habilitación,Vencimiento,Mantenimiento,Clase de Uso,Toxicologia
2,109,GAUCHO                                                                                                                                                                                                  ,BAYER S.A.                                                                                          , IMIDACLOPRID 70.000 %,CANCELADO           ,POLVO DISPERSABLE P/ TRAT. DE SEMILLAS (WS)                                                         ,BAYER AG                                                                             ,ALEMANIA            ,482/2007       ,2005-06-23,2008-12-29,2009-03-31,INSECTICIDA,II                  
3,111,PHOSTOXIN                                                                                                                                                                                               ,IPM PEST CONTROL  DE ERNESTO PABLO ABRAHAM                                                          , FOSFURO DE ALUMINIO 56.000 %,VIGENTE             ,TABLETAS FUMIGANTES (DT)                                                                            ,DEGESCH DE CHILE LTDA.                                                               ,CHILE               ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA,I.B                 
4,12,TAMARON 800                                                                                                                                                                                             ,BAYER S.A.                                                                                          , METAMIDOFOS 80.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,DEGESCH                                                                              ,ALEMANIA            ,493/2003       ,1995-04-28,2000-04-28,2001-03-31,INSECTICIDA ACARICIDA,I                   
8,296,SUMIVERDE                                                                                                                                                                                               ,AGRO PARAGUAY S.R.L                                                                                 , FLUMICLORAC PENTIL 1.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SUMITOMO CHEMICAL CO.                                                                ,JAPON               ,               ,1995-10-02,2000-10-02,2001-03-31,HERBICIDA,IV                  
9,297,SUMISOYA                                                                                                                                                                                                ,AGRO PARAGUAY S.R.L                                                                                 , FLUMIOXAZIN 5.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,SUMITOMO CHEMICAL CO.                                                                ,JAPON               ,               ,1995-10-02,2000-10-02,2001-03-31,HERBICIDA,IV                  
10,289,DANITOL 10 EC                                                                                                                                                                                           ,AGRO PARAGUAY S.R.L                                                                                 , FENPROPATRIN 10.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SUMITOMO CHEMICAL CO.                                                                ,JAPON               ,               ,2005-10-02,2008-12-29,2008-10-02,INSECTICIDA,II                  
12,188,TOPSIN    M- 70  %  WP                                                                                                                                                                                  ,AGRO PARAGUAY S.R.L                                                                                 , METIL TIOFANATO 70.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,NIPPON SODA  CO. LTD.                                                                ,JAPON               ,355/2008       ,2012-02-09,2025-03-31,2024-03-31,FUNGICIDA,IV                  
18,334,ADAMA ESSENTIALS PREMERLIN 600 CE                                                                                                                                                                       ,ADAMA PARAGUAY S.R.L.                                                                               , TRIFLURALINA 60.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,ADAMA Brasil S.A.                                                                    ,BRASIL              ,               ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,IV                  
19,367,TRITAC                                                                                                                                                                                                  ,MILENIA PARAGUAY S.A                                                                                , TRIFLURALINA 48.000 %,CANCELADO           ,EMULSION CONCENTRADA                                                                                ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,               ,2000-10-23,2005-10-23,2004-10-23,HERBICIDA,IV                  
20,365,TRIFLURALINA MILENIA                                                                                                                                                                                    ,MILENIA PARAGUAY S.A                                                                                , TRIFLURALINA 45.500 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,               ,2000-10-23,2005-10-23,2004-10-23,HERBICIDA,IV                  
